-74.0,-73.0,-71.0,-50.0,-79.0,16.819558722849294,57.12229983657071
-86.5,-86.5,-86.0,-79.0,-93.0,18.721224908799492,56.6516114746224
-93.0,-93.0,-93.0,-93.0,-76.0,38.25944595066489,47.180951876736366
-93.0,-72.0,-72.0,-42.0,-74.0,11.49377566577806,55.88977359370748
-58.5,-57.0,-74.5,-93.0,-93.0,54.88964667059024,47.951184040110576
-93.0,-48.0,-93.0,-93.0,-62.0,21.084416645097477,46.96629148966355
-55.0,-56.0,-56.0,-93.0,-76.0,61.0528253650929,47.90767452552118
-93.0,-93.0,-93.0,-93.0,-93.0,66.40756320961322,57.8391343903206
-64.0,-65.0,-93.0,-93.0,-93.0,32.54288136138552,57.351587142829615
-93.0,-93.0,-93.0,-74.0,-93.0,88.70189900123553,57.22867772762553
-74.0,-73.0,-71.0,-50.0,-79.0,16.819558722849294,57.12229983657071
-86.5,-86.5,-86.0,-79.0,-93.0,18.721224908799492,56.6516114746224
-93.0,-93.0,-93.0,-93.0,-76.0,38.25944595066489,47.180951876736366
-93.0,-72.0,-72.0,-42.0,-74.0,11.49377566577806,55.88977359370748
-58.5,-57.0,-74.5,-93.0,-93.0,54.88964667059024,47.951184040110576
-93.0,-48.0,-93.0,-93.0,-62.0,21.084416645097477,46.96629148966355
-55.0,-56.0,-56.0,-93.0,-76.0,61.0528253650929,47.90767452552118
-93.0,-93.0,-93.0,-93.0,-93.0,66.40756320961322,57.8391343903206
-64.0,-65.0,-93.0,-93.0,-93.0,32.54288136138552,57.351587142829615
-93.0,-93.0,-93.0,-74.0,-93.0,48.70189900123553,87.22867772762553
